date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:42	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65ddec25-280a310b3dbcc488;gz%22	https://softivuspro.com/robots.txt		(from )
10:22:42	70119/70119	---M-Z	200	added ('OK')	text/html	etag:%22111e7-6757d5a0-815712b2206d2efd;gz%22	https://softivuspro.com/bankhub-html/	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/index.html	(from )
10:22:43	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-6757d5a0-f29ebe495de86ebd;gz%22	https://softivuspro.com/bankhub-html/assets/images/logo.png	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/images/logo.png	(from https://softivuspro.com/bankhub-html/)
10:22:44	3493/3493	---M-Z	200	added ('OK')	text/css	etag:%22da5-6757d5a0-c37bc86085e385e8;gz%22	https://softivuspro.com/bankhub-html/assets/css/nice-select2.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/css/nice-select2.css	(from https://softivuspro.com/bankhub-html/)
10:22:44	67/67	---MC-	302	error ('Found')	text/plain	date:Mon,%2010%20Feb%202025%2009:22:45%20GMT	https://unpkg.com/js-datepicker/dist/datepicker.min.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/unpkg.com/js-datepicker/dist/datepicker.min.2.delayed	(from https://softivuspro.com/bankhub-html/)
10:22:44	5688/5688	---MCZ	200	added ('OK')	text/css	etag:W/%221638-/jAevLgLuucYgr/BCkrvNWot3BM%22	https://unpkg.com/js-datepicker@5.18.3/dist/datepicker.min.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/unpkg.com/js-datepicker@5.18.3/dist/datepicker.min.css	(from https://softivuspro.com/bankhub-html/)
10:22:45	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-6757d5a0-1c7a0165bbf2e7e9;gz%22	https://softivuspro.com/bankhub-html/assets/css/line-awesome/css/line-awesome.min.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/css/line-awesome/css/line-awesome.min.css	(from https://softivuspro.com/bankhub-html/)
10:22:46	13867/13867	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffe-362b%22	https://cdnjs.cloudflare.com/ajax/libs/tippy.js/2.5.4/tippy.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/cdnjs.cloudflare.com/ajax/libs/tippy.js/2.5.4/tippy.css	(from https://softivuspro.com/bankhub-html/)
10:22:46	58/58	---MC-	302	error ('Found')	text/plain	date:Mon,%2010%20Feb%202025%2009:22:46%20GMT	https://unpkg.com/tippy.js@6/animations/scale.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/unpkg.com/tippy.js@6/animations/scale.css	(from https://softivuspro.com/bankhub-html/)
10:22:46	394/394	---MCZ	200	added ('OK')	text/css	etag:W/%2218a-uOya/8egEg2FQ/RlJGizYQt9zWA%22	https://unpkg.com/tippy.js@6.3.7/animations/scale.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/unpkg.com/tippy.js@6.3.7/animations/scale.css	(from https://softivuspro.com/bankhub-html/)
10:22:47	183891/183891	---M-Z	200	added ('OK')	text/css	etag:%222ce53-6757d5a0-5316bffda94ab5b;gz%22	https://softivuspro.com/bankhub-html/assets/css/index.css	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/css/index.css	(from https://softivuspro.com/bankhub-html/)
10:22:48	70119/70119	---M-Z	200	added ('OK')	text/html	etag:%22111e7-6757d5a0-815712b2206d2efd;gz%22	https://softivuspro.com/bankhub-html/index.html	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/index-2.html	(from https://softivuspro.com/bankhub-html/)
10:22:48	3910/3910	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2009:22:49%20GMT	https://softivuspro.com/bankhub-html/assets/images/logo-with-text.png	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/images/logo-with-text.png	(from https://softivuspro.com/bankhub-html/)
10:22:49	2690/2690	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2009:22:49%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-3.png	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/images/user-3.png	(from https://softivuspro.com/bankhub-html/)
10:22:50	2682/2682	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2009:22:50%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-4.png	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/images/user-4.png	(from https://softivuspro.com/bankhub-html/)
10:22:50	2743/2743	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2009:22:51%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-5.png	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/images/user-5.png	(from https://softivuspro.com/bankhub-html/)
10:22:51	2700/2700	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2009:22:51%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-7.png	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/images/user-7.png	(from https://softivuspro.com/bankhub-html/)
10:22:52	69428/69428	---M-Z	200	added ('OK')	text/html	etag:%2210f34-6757d5a0-2ad135a91596f2e;gz%22	https://softivuspro.com/bankhub-html/chat.html	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/chat.html	(from https://softivuspro.com/bankhub-html/)
10:22:52	9492/9492	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2009:22:52%20GMT	https://softivuspro.com/bankhub-html/assets/images/blank-profile-picture-973460_1280.webp	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/assets/images/blank-profile-picture-973460_1280.webp	(from https://softivuspro.com/bankhub-html/)
10:22:53	60917/60917	---M-Z	200	added ('OK')	text/html	etag:%22edf5-6757d5a0-d4ba22171c057a4;gz%22	https://softivuspro.com/bankhub-html/profile.html	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/profile.html	(from https://softivuspro.com/bankhub-html/)
10:22:54	76934/76934	---M-Z	200	added ('OK')	text/html	etag:%2212c86-6757d5a0-cd248be5e2cebd14;gz%22	https://softivuspro.com/bankhub-html/help-center.html	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/help-center.html	(from https://softivuspro.com/bankhub-html/)
10:22:54	58143/58143	---M-Z	200	added ('OK')	text/html	etag:%22e31f-6757d5a0-cd3535805990bb2f;gz%22	https://softivuspro.com/bankhub-html/security.html	C:/Users/Orizma/Desktop/oreva/PERSONAL/OVO/BANK/template%20online%20banking%202/online%20banking/softivuspro.com/bankhub-html/security.html	(from https://softivuspro.com/bankhub-html/)
